"taxon","environmental_variable","correlation","p_value","p_adjust","association"
"Anaerolinea","pH",0.295652173913043,0.160717893362243,0.202707252889316,"positive"
"Anaerolinea","EC",-0.331304347826087,0.113775493474803,0.160894637237095,"negative"
"Anaerolinea","TOC",0.32695652173913,0.118887084858405,0.166441918801767,"positive"
"Anaerolinea","SO4",-0.361739130434783,0.0824002416094226,0.12143193500336,"negative"
"Anaerolinea","NO3",0.0382608695652174,0.8591175903219,0.877930384270554,"positive"
"Anaerolinea","Sb_total",-0.446086956521739,0.0288944427657097,0.0539362931626581,"negative"
"Anaerolinea","As",-0.425217391304348,0.0383202247287696,0.0662324871855278,"negative"
"Anaerolinea","Cu",-0.413043478260869,0.0448491538998177,0.0738691946585232,"negative"
"Anaerolinea","Zn",-0.39304347826087,0.0574330885552701,0.0883585977773386,"negative"
"Anaerolinea","Cd",-0.427826086956522,0.0370242279385606,0.064792398892481,"negative"
"Flavobacterium","pH",0.613913043478261,0.00141803038426151,0.00441165008436913,"positive"
"Flavobacterium","EC",-0.601739130434782,0.00186640113389722,0.0055594927392683,"negative"
"Flavobacterium","TOC",0.581739130434783,0.00286474109090356,0.0074271065319722,"positive"
"Flavobacterium","SO4",-0.75304347826087,2.17065249167844e-05,0.000346202055324008,"negative"
"Flavobacterium","NO3",0.465217391304348,0.0219776545641716,0.0445923425939715,"positive"
"Flavobacterium","Sb_total",-0.763478260869565,1.42392030186242e-05,0.000346202055324008,"negative"
"Flavobacterium","As",-0.729565217391304,5.22368998406155e-05,0.000393654117583183,"negative"
"Flavobacterium","Cu",-0.693913043478261,0.000169350557355243,0.000658585500825946,"negative"
"Flavobacterium","Zn",-0.775652173913043,8.47031054713836e-06,0.000346202055324008,"negative"
"Flavobacterium","Cd",-0.753913043478261,2.09735476355907e-05,0.000346202055324008,"negative"
"Acidipila","pH",0.103478260869565,0.630395070849354,0.658621715812757,"positive"
"Acidipila","EC",-0.14,0.514098690929043,0.575790533840528,"negative"
"Acidipila","TOC",0.12,0.576489872088946,0.620835246865019,"positive"
"Acidipila","SO4",-0.304347826086956,0.148187708586284,0.192095177797035,"negative"
"Acidipila","NO3",0.0234782608695652,0.913286577927015,0.926522615288276,"positive"
"Acidipila","Sb_total",-0.299130434782609,0.155619554462795,0.198061251134466,"negative"
"Acidipila","As",-0.3,0.154363009136011,0.198061251134466,"negative"
"Acidipila","Cu",-0.275652173913043,0.192316976083001,0.232106695272588,"negative"
"Acidipila","Zn",-0.309565217391304,0.141011467113105,0.186241560338063,"negative"
"Acidipila","Cd",-0.284347826086956,0.178094980953122,0.222618726191403,"negative"
"Gemmatimonas","pH",0.129565217391304,0.546239269258583,0.592817811598462,"positive"
"Gemmatimonas","EC",-0.167826086956522,0.433116552649435,0.497018994843614,"negative"
"Gemmatimonas","TOC",0.2,0.348755732723546,0.403519029597491,"positive"
"Gemmatimonas","SO4",-0.304347826086956,0.148187708586284,0.192095177797035,"negative"
"Gemmatimonas","NO3",-0.0739130434782609,0.731419179392403,0.752931508198062,"negative"
"Gemmatimonas","Sb_total",-0.310434782608696,0.139840015828961,0.186241560338063,"negative"
"Gemmatimonas","As",-0.314782608695652,0.134087068399479,0.18586326312799,"negative"
"Gemmatimonas","Cu",-0.276521739130435,0.19086089033898,0.232106695272588,"negative"
"Gemmatimonas","Zn",-0.346086956521739,0.0975976618515826,0.139425231216547,"negative"
"Gemmatimonas","Cd",-0.309565217391304,0.141011467113105,0.186241560338063,"negative"
"Streptomyces","pH",0.574782608695652,0.00330433182503647,0.00826082956259117,"positive"
"Streptomyces","EC",-0.614782608695652,0.00138988200335177,0.00441165008436913,"negative"
"Streptomyces","TOC",0.58695652173913,0.00256852961683394,0.0070375953773657,"positive"
"Streptomyces","SO4",-0.72695652173913,5.72760520999301e-05,0.000393654117583183,"negative"
"Streptomyces","NO3",0.422608695652174,0.0396517986761955,0.0676981928617973,"positive"
"Streptomyces","Sb_total",-0.70695652173913,0.000112321490692244,0.00050538259041464,"negative"
"Streptomyces","As",-0.737391304347826,3.93772288581867e-05,0.000367520802676409,"negative"
"Streptomyces","Cu",-0.706086956521739,0.000115516020666203,0.00050538259041464,"negative"
"Streptomyces","Zn",-0.743478260869565,3.13921535381213e-05,0.000346202055324008,"negative"
"Streptomyces","Cd",-0.729565217391304,5.22368998406155e-05,0.000393654117583183,"negative"
"Bacillus","pH",0.594782608695652,0.00217314398455249,0.00633833662161144,"positive"
"Bacillus","EC",-0.625217391304348,0.00108764856228875,0.00354118136559128,"negative"
"Bacillus","TOC",0.560869565217391,0.00435625973799247,0.0101646060553158,"positive"
"Bacillus","SO4",-0.73304347826087,4.61259882265861e-05,0.000393654117583183,"negative"
"Bacillus","NO3",0.523478260869565,0.00866110192062403,0.0195573269175381,"positive"
"Bacillus","Sb_total",-0.742608695652174,3.24373831122718e-05,0.000346202055324008,"negative"
"Bacillus","As",-0.716521739130435,8.19604045920872e-05,0.000434369005716174,"negative"
"Bacillus","Cu",-0.715652173913043,8.43857663600932e-05,0.000434369005716174,"negative"
"Bacillus","Zn",-0.740869565217391,3.46202055324008e-05,0.000346202055324008,"negative"
"Bacillus","Cd",-0.740869565217391,3.46202055324008e-05,0.000346202055324008,"negative"
"Clostridium","pH",-0.571304347826087,0.00354469875674886,0.0087062776481551,"negative"
"Clostridium","EC",0.587826086956522,0.00252178330308714,0.0070375953773657,"positive"
"Clostridium","TOC",-0.565217391304348,0.00400090950022936,0.00965736775917431,"negative"
"Clostridium","SO4",0.71304347826087,9.20434142121453e-05,0.000444347516886218,"positive"
"Clostridium","NO3",-0.390434782608696,0.0592575096993988,0.0901744712816939,"negative"
"Clostridium","Sb_total",0.746086956521739,2.84322625946709e-05,0.000346202055324008,"positive"
"Clostridium","As",0.700869565217391,0.000136405472399863,0.000561669592234728,"positive"
"Clostridium","Cu",0.698260869565217,0.000148036020747874,0.000592144082991496,"positive"
"Clostridium","Zn",0.746086956521739,2.84322625946709e-05,0.000346202055324008,"positive"
"Clostridium","Cd",0.756521739130435,1.89039434304064e-05,0.000346202055324008,"positive"
"Nitrosomonas","pH",0.27304347826087,0.196730722890254,0.235404283800304,"positive"
"Nitrosomonas","EC",-0.276521739130435,0.19086089033898,0.232106695272588,"negative"
"Nitrosomonas","TOC",0.255652173913043,0.227918355855052,0.268139242182414,"positive"
"Nitrosomonas","SO4",-0.465217391304348,0.0219776545641716,0.0445923425939715,"negative"
"Nitrosomonas","NO3",0.162608695652174,0.447754151382415,0.50963887149218,"positive"
"Nitrosomonas","Sb_total",-0.50695652173913,0.0114615862928928,0.0254701917619839,"negative"
"Nitrosomonas","As",-0.450434782608696,0.0271870787846356,0.0514350139168782,"negative"
"Nitrosomonas","Cu",-0.408695652173913,0.0473813375395418,0.0762060099964101,"negative"
"Nitrosomonas","Zn",-0.475652173913043,0.0188112838889094,0.0399027234007169,"negative"
"Nitrosomonas","Cd",-0.462608695652174,0.0228330342053136,0.0456660684106272,"negative"
"Blastocatella","pH",-0.499130434782609,0.0130276637641288,0.0284980144840317,"negative"
"Blastocatella","EC",0.542608695652174,0.00615275666982038,0.014121080881555,"positive"
"Blastocatella","TOC",-0.45304347826087,0.0262021363042585,0.0502506723643313,"negative"
"Blastocatella","SO4",0.631304347826087,0.000938891152861908,0.00312963717620636,"positive"
"Blastocatella","NO3",-0.407826086956522,0.0479009205691721,0.0762060099964101,"negative"
"Blastocatella","Sb_total",0.666086956521739,0.000380583166403822,0.00140214850780355,"positive"
"Blastocatella","As",0.649565217391304,0.000592587629355937,0.00202346995389832,"positive"
"Blastocatella","Cu",0.671304347826087,0.00032906556873774,0.00124511296279145,"positive"
"Blastocatella","Zn",0.654782608695652,0.000516719100681468,0.00180851685238514,"positive"
"Blastocatella","Cd",0.654782608695652,0.000516719100681468,0.00180851685238514,"positive"
"Bradyrhizobium","pH",0.561739130434783,0.00428314044321915,0.0101633841025539,"positive"
"Bradyrhizobium","EC",-0.585217391304348,0.00266423253571701,0.0070375953773657,"negative"
"Bradyrhizobium","TOC",0.575652173913043,0.00324644288725635,0.00826082956259117,"positive"
"Bradyrhizobium","SO4",-0.72,7.28590253732779e-05,0.000420263017054496,"negative"
"Bradyrhizobium","NO3",0.398260869565217,0.0539147284565988,0.0848096852126273,"positive"
"Bradyrhizobium","Sb_total",-0.719130434782609,7.504696733116e-05,0.000420263017054496,"negative"
"Bradyrhizobium","As",-0.744347826086956,3.03767094991192e-05,0.000346202055324008,"negative"
"Bradyrhizobium","Cu",-0.726086956521739,5.90481176374774e-05,0.000393654117583183,"negative"
"Bradyrhizobium","Zn",-0.700869565217391,0.000136405472399863,0.000561669592234728,"negative"
"Bradyrhizobium","Cd",-0.714782608695652,8.68738011432349e-05,0.000434369005716174,"negative"
"Nitrospira","pH",-0.00695652173913043,0.974264060533252,0.974264060533252,"negative"
"Nitrospira","EC",0.0747826086956522,0.728375161557555,0.752931508198062,"positive"
"Nitrospira","TOC",-0.0147826086956522,0.945342125773634,0.952143148261214,"negative"
"Nitrospira","SO4",0.135652173913043,0.527378541905856,0.584311370994912,"positive"
"Nitrospira","NO3",-0.107826086956522,0.616015882181566,0.653350178071357,"negative"
"Nitrospira","Sb_total",0.130434782608696,0.543525975217585,0.592817811598462,"positive"
"Nitrospira","As",0.134782608695652,0.530053886545385,0.584311370994912,"positive"
"Nitrospira","Cu",0.113913043478261,0.596114050669413,0.637068451097083,"positive"
"Nitrospira","Zn",0.105217391304348,0.624627381645891,0.657502506995675,"positive"
"Nitrospira","Cd",0.146086956521739,0.495782929684314,0.559754920611322,"positive"
"Cupriavidus","pH",-0.38695652173913,0.061759220209282,0.0919818173329732,"negative"
"Cupriavidus","EC",0.414782608695652,0.0438664984807059,0.0731108308011765,"positive"
"Cupriavidus","TOC",-0.258260869565217,0.223043218131794,0.264627546936026,"negative"
"Cupriavidus","SO4",0.454782608695652,0.0255615797040345,0.0497030716467337,"positive"
"Cupriavidus","NO3",-0.311304347826087,0.138675542669877,0.186241560338063,"negative"
"Cupriavidus","Sb_total",0.440869565217391,0.0310553540275205,0.0572072311033273,"positive"
"Cupriavidus","As",0.466086956521739,0.0216983544469976,0.0445923425939715,"positive"
"Cupriavidus","Cu",0.460869565217391,0.0234180698132485,0.0461764756880956,"positive"
"Cupriavidus","Zn",0.483478260869565,0.0166885633176281,0.0359445979148914,"positive"
"Cupriavidus","Cd",0.434782608695652,0.0337372555755502,0.0605540484689362,"positive"
"Ktedonobacter","pH",-0.591304347826087,0.00234195302225076,0.0066912943492879,"negative"
"Ktedonobacter","EC",0.602608695652174,0.00183079267306979,0.0055594927392683,"positive"
"Ktedonobacter","TOC",-0.585217391304348,0.00266423253571701,0.0070375953773657,"negative"
"Ktedonobacter","SO4",0.724347826086956,6.2737252960442e-05,0.000399237064293722,"positive"
"Ktedonobacter","NO3",-0.411304347826087,0.0458489789837357,0.074637872764221,"negative"
"Ktedonobacter","Sb_total",0.757391304347826,1.82553317090713e-05,0.000346202055324008,"positive"
"Ktedonobacter","As",0.72695652173913,5.72760520999304e-05,0.000393654117583183,"positive"
"Ktedonobacter","Cu",0.710434782608696,0.000100303057660519,0.000468080935749087,"positive"
"Ktedonobacter","Zn",0.720869565217391,7.07272370142215e-05,0.000420263017054496,"positive"
"Ktedonobacter","Cd",0.749565217391304,2.48695503986746e-05,0.000346202055324008,"positive"
"Acidithiobacillus","pH",-0.394782608695652,0.0562411351652387,0.087486210257038,"negative"
"Acidithiobacillus","EC",0.312173913043478,0.137518029592144,0.186241560338063,"positive"
"Acidithiobacillus","TOC",-0.218260869565217,0.305554391584494,0.356480123515244,"negative"
"Acidithiobacillus","SO4",0.356521739130435,0.0872531045830989,0.127244110850353,"positive"
"Acidithiobacillus","NO3",-0.278260869565217,0.187971394522143,0.232106695272588,"negative"
"Acidithiobacillus","Sb_total",0.438260869565217,0.0321831115034619,0.0585147481881125,"positive"
"Acidithiobacillus","As",0.387826086956522,0.0611263100800813,0.0919818173329732,"positive"
"Acidithiobacillus","Cu",0.351304347826087,0.0923172546101078,0.133241398406341,"positive"
"Acidithiobacillus","Zn",0.431304347826087,0.0353504559247136,0.0626463775881001,"positive"
"Acidithiobacillus","Cd",0.42,0.041019600014113,0.0691896867707929,"positive"
