"source","target","correlation","abs_correlation","p_value","p_adjust","association"
"Flavobacterium","pH",0.613913043478261,0.613913043478261,0.00141803038426151,0.00441165008436913,"positive"
"Flavobacterium","EC",-0.601739130434782,0.601739130434782,0.00186640113389722,0.0055594927392683,"negative"
"Flavobacterium","TOC",0.581739130434783,0.581739130434783,0.00286474109090356,0.0074271065319722,"positive"
"Flavobacterium","SO4",-0.75304347826087,0.75304347826087,2.17065249167844e-05,0.000346202055324008,"negative"
"Flavobacterium","Sb_total",-0.763478260869565,0.763478260869565,1.42392030186242e-05,0.000346202055324008,"negative"
"Flavobacterium","As",-0.729565217391304,0.729565217391304,5.22368998406155e-05,0.000393654117583183,"negative"
"Flavobacterium","Cu",-0.693913043478261,0.693913043478261,0.000169350557355243,0.000658585500825946,"negative"
"Flavobacterium","Zn",-0.775652173913043,0.775652173913043,8.47031054713836e-06,0.000346202055324008,"negative"
"Flavobacterium","Cd",-0.753913043478261,0.753913043478261,2.09735476355907e-05,0.000346202055324008,"negative"
"Streptomyces","pH",0.574782608695652,0.574782608695652,0.00330433182503647,0.00826082956259117,"positive"
"Streptomyces","EC",-0.614782608695652,0.614782608695652,0.00138988200335177,0.00441165008436913,"negative"
"Streptomyces","TOC",0.58695652173913,0.58695652173913,0.00256852961683394,0.0070375953773657,"positive"
"Streptomyces","SO4",-0.72695652173913,0.72695652173913,5.72760520999301e-05,0.000393654117583183,"negative"
"Streptomyces","Sb_total",-0.70695652173913,0.70695652173913,0.000112321490692244,0.00050538259041464,"negative"
"Streptomyces","As",-0.737391304347826,0.737391304347826,3.93772288581867e-05,0.000367520802676409,"negative"
"Streptomyces","Cu",-0.706086956521739,0.706086956521739,0.000115516020666203,0.00050538259041464,"negative"
"Streptomyces","Zn",-0.743478260869565,0.743478260869565,3.13921535381213e-05,0.000346202055324008,"negative"
"Streptomyces","Cd",-0.729565217391304,0.729565217391304,5.22368998406155e-05,0.000393654117583183,"negative"
"Bacillus","pH",0.594782608695652,0.594782608695652,0.00217314398455249,0.00633833662161144,"positive"
"Bacillus","EC",-0.625217391304348,0.625217391304348,0.00108764856228875,0.00354118136559128,"negative"
"Bacillus","TOC",0.560869565217391,0.560869565217391,0.00435625973799247,0.0101646060553158,"positive"
"Bacillus","SO4",-0.73304347826087,0.73304347826087,4.61259882265861e-05,0.000393654117583183,"negative"
"Bacillus","Sb_total",-0.742608695652174,0.742608695652174,3.24373831122718e-05,0.000346202055324008,"negative"
"Bacillus","As",-0.716521739130435,0.716521739130435,8.19604045920872e-05,0.000434369005716174,"negative"
"Bacillus","Cu",-0.715652173913043,0.715652173913043,8.43857663600932e-05,0.000434369005716174,"negative"
"Bacillus","Zn",-0.740869565217391,0.740869565217391,3.46202055324008e-05,0.000346202055324008,"negative"
"Bacillus","Cd",-0.740869565217391,0.740869565217391,3.46202055324008e-05,0.000346202055324008,"negative"
"Clostridium","pH",-0.571304347826087,0.571304347826087,0.00354469875674886,0.0087062776481551,"negative"
"Clostridium","EC",0.587826086956522,0.587826086956522,0.00252178330308714,0.0070375953773657,"positive"
"Clostridium","TOC",-0.565217391304348,0.565217391304348,0.00400090950022936,0.00965736775917431,"negative"
"Clostridium","SO4",0.71304347826087,0.71304347826087,9.20434142121453e-05,0.000444347516886218,"positive"
"Clostridium","Sb_total",0.746086956521739,0.746086956521739,2.84322625946709e-05,0.000346202055324008,"positive"
"Clostridium","As",0.700869565217391,0.700869565217391,0.000136405472399863,0.000561669592234728,"positive"
"Clostridium","Cu",0.698260869565217,0.698260869565217,0.000148036020747874,0.000592144082991496,"positive"
"Clostridium","Zn",0.746086956521739,0.746086956521739,2.84322625946709e-05,0.000346202055324008,"positive"
"Clostridium","Cd",0.756521739130435,0.756521739130435,1.89039434304064e-05,0.000346202055324008,"positive"
"Blastocatella","SO4",0.631304347826087,0.631304347826087,0.000938891152861908,0.00312963717620636,"positive"
"Blastocatella","Sb_total",0.666086956521739,0.666086956521739,0.000380583166403822,0.00140214850780355,"positive"
"Blastocatella","As",0.649565217391304,0.649565217391304,0.000592587629355937,0.00202346995389832,"positive"
"Blastocatella","Cu",0.671304347826087,0.671304347826087,0.00032906556873774,0.00124511296279145,"positive"
"Blastocatella","Zn",0.654782608695652,0.654782608695652,0.000516719100681468,0.00180851685238514,"positive"
"Blastocatella","Cd",0.654782608695652,0.654782608695652,0.000516719100681468,0.00180851685238514,"positive"
"Bradyrhizobium","pH",0.561739130434783,0.561739130434783,0.00428314044321915,0.0101633841025539,"positive"
"Bradyrhizobium","EC",-0.585217391304348,0.585217391304348,0.00266423253571701,0.0070375953773657,"negative"
"Bradyrhizobium","TOC",0.575652173913043,0.575652173913043,0.00324644288725635,0.00826082956259117,"positive"
"Bradyrhizobium","SO4",-0.72,0.72,7.28590253732779e-05,0.000420263017054496,"negative"
"Bradyrhizobium","Sb_total",-0.719130434782609,0.719130434782609,7.504696733116e-05,0.000420263017054496,"negative"
"Bradyrhizobium","As",-0.744347826086956,0.744347826086956,3.03767094991192e-05,0.000346202055324008,"negative"
"Bradyrhizobium","Cu",-0.726086956521739,0.726086956521739,5.90481176374774e-05,0.000393654117583183,"negative"
"Bradyrhizobium","Zn",-0.700869565217391,0.700869565217391,0.000136405472399863,0.000561669592234728,"negative"
"Bradyrhizobium","Cd",-0.714782608695652,0.714782608695652,8.68738011432349e-05,0.000434369005716174,"negative"
"Ktedonobacter","pH",-0.591304347826087,0.591304347826087,0.00234195302225076,0.0066912943492879,"negative"
"Ktedonobacter","EC",0.602608695652174,0.602608695652174,0.00183079267306979,0.0055594927392683,"positive"
"Ktedonobacter","TOC",-0.585217391304348,0.585217391304348,0.00266423253571701,0.0070375953773657,"negative"
"Ktedonobacter","SO4",0.724347826086956,0.724347826086956,6.2737252960442e-05,0.000399237064293722,"positive"
"Ktedonobacter","Sb_total",0.757391304347826,0.757391304347826,1.82553317090713e-05,0.000346202055324008,"positive"
"Ktedonobacter","As",0.72695652173913,0.72695652173913,5.72760520999304e-05,0.000393654117583183,"positive"
"Ktedonobacter","Cu",0.710434782608696,0.710434782608696,0.000100303057660519,0.000468080935749087,"positive"
"Ktedonobacter","Zn",0.720869565217391,0.720869565217391,7.07272370142215e-05,0.000420263017054496,"positive"
"Ktedonobacter","Cd",0.749565217391304,0.749565217391304,2.48695503986746e-05,0.000346202055324008,"positive"
